id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
30427,Mr. Empty,Mr. Empty,Music,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,4.63,29468,292,16607,1,531,"An animated music video for Denki Groove's song ""Mr.EMPTY"".",,2004,2004-12-22,,,,327
30428,Hikenai Guitar wo Hikundaze,,Music,Music,1,Finished Airing,False,PG-13 - Teens 13 or older,5.4,29469,336,16008,1,606,"An animated music video for Denki Groove's song ""Hikenai Guitar wo Hikundaze"".",,2004,2004-12-22,,,,328
30429,Utsukushii,,Music,Unknown,1,Finished Airing,False,PG-13 - Teens 13 or older,4.65,29470,219,17652,1,433,An animated music video for Yura Yura Teikoku's song Utsukushii.,,2008,2008-01-01,,,,329
30430,Kimi wa Sou Kimeta,You Just Decided,Music,Unknown,1,Finished Airing,False,G - All Ages,5.23,29471,185,18297,0,386,"An animated music video for Yura Yura Teikoku's song ""Kimi wa Sou Kimeta"".",,2011,2011-11-15,,,,330
30431,Anata mo Robot ni Nareru feat. Kamome Jidou Gasshoudan,"You Can Be A Robot, Too feat. Kamome Jido Gassyodan",Music,Unknown,1,Finished Airing,False,G - All Ages,4.6,29472,302,16409,0,554,"An animated music video for Yura Yura Teikoku's song ""Anata mo Robot ni Nareru"" sung by the Kamome children's chorus to promote the original's 7inch Vinyl release on November 7th.",,2014,2014-10-21,,,,331
30433,Eat You Up/Bunny,,Music,Unknown,1,Finished Airing,False,G - All Ages,5.24,29473,236,17231,0,469,"An animated music video for Mama Guitar's song ""Eat You Up/Bunny""",,2012,2012-02-07,,,,332
30534,Fen Qing,Burn This Love,Music,Unknown,1,Finished Airing,False,PG-13 - Teens 13 or older,5.38,29477,209,17910,0,414,"The official music video for ""Burn this Love"" by Jeff Cheung, the ending of Qin's Moon season 5.",,2015,2015-01-01,,,,333
30576,Pareo wa Emerald,,Music,Unknown,1,Finished Airing,False,PG-13 - Teens 13 or older,5.59,29479,196,18166,0,396,"Animated version of the music video of SKE48's 6th single ""Pareo wa Emerald"", which was shown on their own variety show SKE48 no Sekai Seifuku Joshi.",,2011,2011-11-14,,,,334
30771,Mudai,,Music,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,7.09,29487,3126,8660,15,5358,"Splotched in blooms of color and bursting with ideas, a young artist paints another beautiful piece, his girlfriend supporting him all the while. Their lives are modest, but they know they will stay by each other no matter what. When one of his works sells, he experiences unprecedented renown; life couldn't be any better for a man with both love and success. However, the lust for creativity consumes him, and as his world crumbles around him, he is left scrambling to pick up the pieces of what remains.

[Written by MAL Rewrite]",,2015,2015-05-07,,,Drama;Romance;Slice of Life,335
30903,Children Record,Children Record,Music,Mixed media,2,Finished Airing,False,PG - Children,6.79,29493,1901,9516,7,4047,"Children Record features two songs, the titular one serving as an opening to the Kagerou Project song series.

Kisaragi Attention
For the ultra-popular idol Momo Kisaragi, going out in public is nearly impossible. No matter what, she always seems to capture everyone's attention. She's not even that talented! With so many doubts, one would think she might as well quit. However, after meeting with the ""Mekakushi-dan,"" Momo may finally find a place to belong.

Children Record
Long ago, the heat-haze began drawing in victims, granting them red-eyed powers—but these powers bring more pain than good. Through the despair, these affected children push ever onward to a future full of hope.

[Written by MAL Rewrite]",,2012,2012-08-15,,,,336
30907,Eine Kleine,,Music,Other,1,Finished Airing,False,G - All Ages,7.01,29494,1368,11284,10,2358,"The song Eine Kleine from the Album Yankee was written as a commercial for Tokyo Metro, and features lyrics about looking forward despite adversity.

(Source: Billboard Japan)",,2014,2014-04-01,,,Drama;Romance;Slice of Life,337
30909,Vivi,,Music,Original,1,Finished Airing,False,G - All Ages,6.07,29495,554,14118,2,1014,"A song from a concept album about an imaginary town that is built on top of a catfish. All of the songs are stories that happen in the town. The idea of having a miniature town was one of Yonezu's first when planning the album, and he created characters and stories for the people who lived in the town. Yonezu considers the lyrics of ""vivi"" to be the closest to his own feelings.

(Source: Wikipedia)",,2012,2012-03-15,,,Adventure;Fantasy;Romance,338
30913,Mekakucity Days,Mekakucity Days,Music,Mixed media,5,Finished Airing,False,PG-13 - Teens 13 or older,7.5,29496,4301,6482,80,10881,"Mekakucity Days is a series of music videos that tell the stories of some of the members of the ""Mekakushi-dan.""

Kagerou Daze
In the scorching heat haze of summer, Hibiya Amamiya feels every day is monotonous. On a swing in a park, he meets up with Hiyori Asahina, who gently strokes the cat in her arms. However, when the cat leaps away, Hiyori runs headlong into a never-ending tragedy—and Hibiya will do whatever it takes to see her safe.

Headphone Actor
""The end of the world is nigh,"" the news broadcast proclaims. Amidst the chaos, Takane Enomoto hears a voice in her headphones, asking if she wants to live. Following its directions, she races onward, but what awaits her may not be the salvation that she desires.

Souzou Forest
Due to her red eyes and white hair, everybody sees Mari Kozakura as a monster. Although she lacks the courage to do so, she dreams of escaping her house in the forest where she lives alone, imagining the world outside. Fortunately, her lonesome life begins to change with a simple knock on the door.

Konoha no Sekai Jijou
The android-like being Konoha lacks many memories. What he recalls are feelings of longing, but by who and for who, he cannot place. What he does know, however, is that in the heat haze of summer, a young boy and girl face a tragedy. But fate is unchangeable, and his desperate attempts to save them can never seem to rewrite the future.

Toumei Answer
Shintarou Kisaragi knows how every day will go. Blessed with a photographic memory, he knows he will score full marks on his next exam, and he knows that Ayano Tateyama, the girl who sits next to him, will do poorly. But with his genius also comes unrelenting boredom; not even Ayano's bright smile and optimistic outlook can make him waver. His apathy may finally be broken, however, when Ayano does something that shakes Shintarou to his very core.

[Written by MAL Rewrite]",,2012,2012-05-30,,,Sci-Fi,339
30924,Mikagura Gakuen Kumikyoku,Mikagura School Suite,Music,Mixed media,5,Finished Airing,False,PG-13 - Teens 13 or older,6.62,29497,930,10003,11,3462,"As a new student, Eruna Ichinomiya meets various strangers, learns about their clubs, and helps them with their problems.

Houkago Stride
Eruna was hardly prepared to go to her new school, but that's no matter. Leading it off with an enormous stride, she will hop, step, and jump her way through, showing her unparalleled motivation and optimistic outlook. One, two, three—she'll shout out her excitement with the fire of a toy gun! 

Mukiryoku Coup d'Etat
As an actor, Yuuto Akama is accustomed to playing different roles, and real life is just another one of these. He wears a practiced smile and a carefree attitude, but inside, a war is waging. A personality squashed and imprisoned... Yuuto puts down the coup d'état of his former self, all to maintain his perfect facade. But no matter how much time passes, the memories don't disappear, and he can never stop the flames of rebellion of his heart.

Uchouten Vivace
With a cheerful hop and skip, Himi Yasaka shows Eruna all the fun and excitement of the Calligraphy Club. It's a rhythmic and all-encompassing art; although calligraphy may take a bit of practice, anyone can do it. All you need is an ecstatic vivace!

Garakuta Innocence
No matter what saturation, contrast, or hue, painter Kyouma Kuzuryuu cannot create a work that is good enough. Everything, including himself, always falls short. He lies to himself that this is what he always wanted, but in the end, he is still another piece of trash. Is there any salvation for the lonesome and self-deprecating Kyouma?

Izayoi Seeing
Asuhi Imizu has lived his life secluded from others. Gazing at the night sky through his telescope, he draws new constellations in his mind. However, like the sun after a rainstorm, Eruna brightens his life, helping him open up to others. Together, they view a 16-day-old moon; all the while, Asuhi is guided by her light.

[Written by MAL Rewrite]",,2015,2015-02-25,,,,340
