id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
52688,Shounen Sunday CM: Zettai Karen Children,,CM,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,5.56,32031,124,19092,0,329,Zettai Karen Children television commercial for the Shounen Sunday magazine.,,2008,2008-01-01,,,Action;Comedy,337
52700,Suntory Can Beer CMs,,CM,Other,9,Finished Airing,False,PG-13 - Teens 13 or older,5.87,32032,154,18815,0,345,Commercials for Suntory Beer featuring characters that would later be used in the film Penguin's Memory: Shiawase Monogatari.,,1983,1983-01-01,1984-01-01,,Romance,338
52834,Tamaya CM: Sono Saki e-hen,,CM,Original,1,Finished Airing,False,G - All Ages,5.94,32063,168,18292,0,387,,,2022,2022-08-07,,,,339
52944,Chain Chronicle x Mitsubishi Tokyo UFJ-VISA Debit,,CM,Unknown,3,Finished Airing,False,G - All Ages,5.41,32098,151,17214,0,471,,,2017,2017-02-01,2017-04-01,Studio PuYUKAI,Comedy,340
53014,Kimi no Suki ni Deaou.,,CM,Original,2,Finished Airing,False,G - All Ages,5.95,32119,148,18717,0,353,"Commercials directed by Toshitaka Shinoda for the d-anime store. They feature the song ""Matasaburo"" by Yorushika.",,2021,2021-03-17,2021-09-30,Liberty Animation Studio;Ijigen Tokyo,Romance,341
53023,Kkoma Bus Tayo: Paris Baguette Gwang-go,,CM,Original,2,Finished Airing,False,G - All Ages,0.0,32120,0,22515,0,145,Advertisments for Paris Baguette cafe chain featuring characters from Kkoma Bus Tayo.,,2012,2012-03-01,2012-12-01,,,342
53183,Lupin III x McDonald's CMs,,CM,Manga,4,Finished Airing,False,G - All Ages,6.08,32144,426,14478,0,916,"In this new 30-second ad, entitled Goodbye to Long Orders, the Lupin III crew visit the McDonald's drive-in to grab a bite, but Lupin has forgotten Fujiko's order. Thanks to a mobile order code from Goemon, though, the day is saved.

(Source: Otaku Magazine USA)",,2022,2022-09-27,2024-06-28,KOO-KI,Comedy,343
53275,Suki ni Zen Furou,,CM,Original,1,Finished Airing,False,G - All Ages,5.9,32170,126,19698,0,291,"Commercial directed by Kazuma Ikeda for the d-anime store. It features the song ""MoonWalker"" by yama.",,2022,2022-03-17,,P.I.C.S.,Slice of Life,344
53291,Terada Mokei × Pocari Sweat,,CM,Original,9,Finished Airing,False,G - All Ages,0.0,32177,0,22583,0,142,Genki-kun's life as a thirsty Japanese salaryman.,,2013,2013-06-13,2013-09-24,,Slice of Life,345
53368,Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun CM,,CM,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,6.0,32197,185,17162,0,475,Animated commericial by Seven Arcs for Fuyu Azuma's Kao ni Denai Kashiwada-san to Kao ni Deru Оota-kun manga.,,2022,2022-10-02,,Seven Arcs,Comedy,346
53402,Urusei Yatsura x Onitsuka Tiger Collaboration CM,,CM,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,6.29,32203,930,11515,2,2205,"A collaboration commercial between the shoe brand Onitsuka Tiger and Urusei Yatsura. It features Ataru and Lum shopping at the real life Onitsuka Tiger store, where Lum attacks Ataru after he hits on the shop attendant.",,2022,2022-10-20,,David Production,Comedy;Romance;Sci-Fi;Supernatural,347
53443,Dongitsune CMs,,CM,Other,0,Currently Airing,True,G - All Ages,6.42,32208,113,15560,1,673,Commercials for Nissin's Donbei Kitsune Udon.,,2017,2017-11-11,,Studio 4°C;Telecom Animation Film;Tatsunoko Production;Studio Colorido,Gourmet,348
53479,Shin Jidai no Webcomic Magazine,,CM,Original,1,Finished Airing,False,G - All Ages,0.0,32211,0,20836,0,228,A short commercial for Kadokawa with Showa-style aesthetics.,,2022,2022-09-09,,,,349
53501,Kusatsu-eki Kara,,CM,Original,1,Finished Airing,False,G - All Ages,0.0,32214,0,21361,0,200,A commercial set in Shiga Prefecture for the waste disposal company Kinkan Group.,,2021,2021-06-11,,LB Commerce,Slice of Life,350
53731,"Big Mac to, Susume",,CM,Original,1,Finished Airing,False,G - All Ages,6.76,32252,2248,9484,15,4089,Suzume no Tojimari promoting McDonald's Big Mac.,,2022,2022-11-11,,CoMix Wave Films,Gourmet,351
53757,Hello Spot CM,,CM,Original,1,Finished Airing,False,G - All Ages,0.0,32261,0,22535,0,144,"This is the clay animation version of the commercial for the next-generation video site ""HelloSpot"" scheduled to open on April 1, 2012. Directed by Keita Funamoto, who appeared on TBS's ""Omoroge Video Show"".",,2012,2012-03-02,,,,352
54022,Saikyou Donbei x Hanma Baki: Saikyou no Dongitsune Genrutsutsu,,CM,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,6.65,32331,659,12746,2,1483,"Nissin has teamed up with Baki Hanma for a new anime commercial that promotes the brand's Saikyou Donbei (The Strongest Donbei) cup noodles, which have thicker noodles than the regular Donbei products among other features.

(Source: anitrendz)",,2022,2022-11-21,,TMS Entertainment,Gourmet,353
54024,Samurai Mac,,CM,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,5.76,32332,406,15117,2,760,"Commercial for the Samurai Mac burger in McDonald's Japan, as a collaboration with manga artist Tetsuo Hara.",,2022,2022-12-26,,,Gourmet;Suspense,354
54050,He Wei Dao x Guan Yu Wo Zhuan Sheng Bian Cheng Shi Lai Mu Zhe Dang Shi,He Wei Dao x That Time I Got Reincarnated as a Slime,CM,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,5.93,32344,892,11513,4,2206,A commercial for a Chinese noodle brand,,2022,2022-11-01,,8bit,Adventure;Comedy;Fantasy,355
