year,Action,Adventure,Avant Garde,Award Winning,Boys Love,Comedy,Drama,Ecchi,Erotica,Fantasy,Girls Love,Gourmet,Hentai,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
1996,64,62,2,2,4,79,41,10,1,55,1,0,29,10,11,25,44,13,10,15,2
1997,58,70,5,4,1,80,42,13,2,53,1,1,23,10,8,18,37,7,8,13,5
1998,73,68,8,12,1,88,54,13,0,58,0,0,24,9,12,23,68,8,5,20,3
1999,77,86,12,4,1,109,48,13,0,55,2,1,30,9,13,29,75,11,2,17,3
2000,54,60,10,7,2,85,52,7,0,55,0,1,42,22,16,25,55,6,5,22,3
2001,66,88,7,4,1,107,74,12,1,85,2,1,82,10,13,40,75,23,12,16,2
2002,88,83,22,10,3,130,72,15,1,75,0,3,68,9,21,47,96,24,14,20,8
2003,87,91,19,6,0,134,71,21,1,79,3,0,72,12,20,48,92,12,12,27,6
2004,99,87,17,9,4,149,97,28,0,70,7,2,57,13,20,53,89,14,9,29,10
2005,84,77,28,8,7,147,100,28,2,107,0,1,42,8,20,65,72,23,13,36,6
2006,105,104,22,7,6,188,97,21,1,126,6,5,40,23,30,77,83,31,9,43,11
2007,114,96,21,6,7,185,91,27,6,125,3,4,47,14,30,68,75,31,21,34,11
2008,128,83,19,7,7,215,62,35,2,115,5,2,39,14,29,63,75,29,12,47,15
2009,111,93,25,6,3,230,59,40,4,126,8,6,44,10,28,62,82,41,19,38,15
2010,127,93,35,7,8,249,55,47,7,151,4,4,58,11,22,53,79,41,20,56,11
2011,154,93,42,9,4,279,72,54,2,168,4,7,63,12,29,58,86,45,20,68,14
2012,152,96,33,9,5,292,83,45,2,168,5,6,47,26,35,86,100,80,22,59,16
2013,157,96,36,10,2,310,65,33,5,190,1,7,59,10,24,71,82,78,31,48,14
2014,176,113,40,9,7,357,73,43,0,215,6,6,65,16,33,86,105,96,28,66,22
2015,194,127,46,9,2,344,82,48,4,217,10,8,57,19,35,68,96,105,23,70,17
2016,212,155,43,7,8,373,95,34,0,250,0,13,56,31,47,73,129,92,46,66,24
2017,211,166,41,3,6,348,105,29,6,266,3,18,57,31,42,81,127,104,33,68,26
2018,244,155,34,11,12,325,125,25,3,243,6,19,53,28,37,89,112,106,35,67,24
2019,232,162,57,7,7,308,99,25,1,297,5,8,46,14,50,70,134,79,29,62,23
2020,216,142,28,6,11,271,89,18,5,262,3,6,53,14,38,66,98,83,23,56,24
2021,239,132,39,13,11,268,126,13,3,269,3,12,49,17,50,77,103,100,28,71,35
2022,253,159,38,7,5,288,79,9,4,279,1,13,48,11,38,66,97,72,31,52,18
2023,294,194,34,6,14,262,100,13,0,345,7,9,49,17,43,94,105,55,20,60,22
2024,292,204,38,2,13,234,77,13,1,341,5,20,51,13,34,77,98,46,29,63,29
2025,106,59,1,0,5,107,32,4,1,91,3,4,11,11,33,53,38,21,12,38,8
2026,8,1,0,0,0,3,0,0,0,5,0,0,0,0,1,1,4,0,0,0,1
